company_name,sector,revenue,ebitda,ebitda_margin,net_profit_margin,debt_to_equity,interest_coverage,current_ratio,quick_ratio,roa,roe,operating_cash_flow,total_debt,dscr,promoter_holding,company_age,market_cap,external_macro_risk_flag,qualitative_risk_score,credit_rating
Oil & Natural Gas Corporation,Energy & Oil,20945.95,8759.19,32.82,11.51,0.67,8.03,1.9,1.8,8.41,14.01,-1134.9,3703.98,1.33,56.55,15.65,87667.32,0,3.3,A+
Bharat Petroleum,Energy & Oil,14810.61,10300.16,15.98,8.06,1.16,6.71,1.71,1.52,8.02,16.53,2732.61,59055.98,2.34,70.67,29.73,74212.91,0,4.4,A
Natco Pharma,Pharmaceuticals,6593.76,5151.27,24.23,7.22,1.21,2.87,1.3,1.43,2.99,8.17,5399.62,27494.58,2.86,42.59,25.26,10089.85,0,3.6,BBB+
Muthoot Finance,Banking & Financial Services,42329.18,8955.63,19.71,10.44,0.53,7.46,1.33,1.48,13.19,20.94,-20.51,19948.93,3.14,51.16,15.21,61559.48,0,5.0,A-
India Cements,Cement,69870.85,38016.04,21.13,14.86,0.34,20.42,2.23,2.01,9.86,21.09,25532.31,11520.33,4.63,52.96,42.03,375811.09,0,1.0,AAA
Canara Bank,Banking & Financial Services,6426.14,-77.94,5.94,8.08,1.71,3.51,1.13,0.79,3.96,-1.02,922.96,15510.14,1.65,55.51,10.0,15452.83,1,5.8,BB-
Raymond,Textiles,4591.31,329.03,11.15,2.02,2.66,1.45,1.12,0.72,3.13,5.43,250.3,21913.38,0.78,35.5,22.33,7054.81,1,7.1,B
Mankind Pharma,Pharmaceuticals,86579.34,19602.93,26.89,14.71,0.57,9.93,1.87,1.65,11.8,16.5,16422.95,37465.99,4.77,55.24,53.34,104677.68,0,3.0,AA
Bandhan Bank,Banking & Financial Services,16461.32,8187.1,22.29,10.13,1.3,3.7,1.1,0.57,3.25,10.86,-1289.97,13468.14,1.68,45.41,17.38,14877.29,0,5.5,BBB+
Tata Motors,Automobile,35992.48,13521.57,24.83,12.93,0.35,13.03,1.99,1.16,10.87,18.47,-836.23,21511.04,4.67,62.51,75.45,175066.57,0,4.7,AA
Wipro,IT & Technology,22581.56,3326.14,19.87,6.32,1.24,2.72,1.52,0.84,3.63,12.24,2252.12,10.0,1.07,34.23,15.17,26216.35,0,5.9,BBB-
Yes Bank,Banking & Financial Services,43550.43,12323.56,23.04,12.84,1.13,7.84,1.95,1.74,2.14,13.84,4776.84,45290.24,4.06,34.6,48.93,14856.64,0,3.3,A+
NTPC,Power & Utilities,11817.94,-116.83,18.25,10.04,1.62,2.98,1.39,0.99,8.38,2.5,777.5,20066.49,1.26,44.9,22.74,10134.71,1,5.5,BBB-
Mahindra Lifespace,Real Estate,6818.67,837.44,9.34,3.98,0.76,2.37,1.04,1.05,3.89,10.51,193.4,12286.13,0.83,32.13,28.02,16924.94,0,6.1,BB+
Shree Cement,Cement,7619.02,1668.48,2.96,-0.81,2.09,0.44,1.04,0.83,3.62,6.57,580.55,24445.71,1.29,32.94,18.3,10299.01,1,7.1,BB
Adani Power,Power & Utilities,80363.92,9725.75,21.85,15.06,0.47,6.98,2.83,1.95,10.08,20.57,12337.39,30637.94,2.46,56.54,41.13,137418.53,0,1.0,AA
Sterlite Technologies,Telecom,754.9,378.63,5.26,6.05,2.97,1.04,0.89,0.77,0.11,2.44,-126.78,23351.25,0.9,24.39,11.31,4274.13,0,7.1,B
Tata Consumer Products,FMCG,18223.07,9025.33,18.21,10.18,0.4,6.16,1.73,1.19,8.5,17.99,8806.26,36290.93,2.61,45.2,19.47,32205.3,0,2.9,A+
SJVN,Power & Utilities,83842.29,12414.52,18.37,24.1,0.19,10.81,2.14,2.21,18.12,19.98,16059.93,23573.05,2.28,77.73,103.88,10.0,0,1.0,AAA
Macrotech Developers,Real Estate,12352.28,2163.23,19.06,7.66,0.84,3.29,1.55,0.7,1.71,16.98,1343.63,18351.76,1.6,54.58,41.73,28699.01,0,3.9,BBB+
Adani Total Gas,Energy & Oil,22818.63,6292.95,11.39,15.28,0.47,8.99,2.53,1.21,9.1,10.07,8494.71,20527.11,1.93,48.53,26.41,40245.22,0,2.9,A
LTIMindtree,IT & Technology,16675.11,139.95,16.46,0.95,1.8,1.61,1.06,0.96,5.25,10.57,557.09,17842.55,0.97,28.12,10.0,5374.56,1,5.0,BB-
HFCL,Telecom,7768.23,2412.82,14.49,2.24,0.96,2.37,0.57,1.02,2.68,12.49,-236.18,25181.46,1.17,37.37,10.0,11574.49,0,7.9,BB
L&T Technology Services,IT & Technology,48144.9,4827.47,14.98,6.53,1.24,4.44,2.39,1.48,8.82,13.77,8642.69,27767.94,2.5,60.35,30.27,26049.96,0,3.4,A
Ola Electric,Automobile,2733.37,-236.16,-12.25,-1.32,6.32,0.57,0.59,0.31,-0.85,-9.77,-453.02,23105.64,0.39,49.22,10.0,1414.55,0,8.5,C
Lupin,Pharmaceuticals,25247.92,2245.12,25.41,8.92,0.77,3.53,2.42,1.7,7.92,10.38,12143.63,22511.02,1.92,30.85,24.25,6360.86,0,4.1,A+
ITC,FMCG,11246.0,3711.39,11.38,8.2,1.97,3.08,1.52,0.61,8.04,9.57,4390.96,18521.84,2.11,56.05,19.48,36378.6,0,5.6,BBB+
Birlasoft,IT & Technology,22976.3,9073.01,17.69,12.2,0.48,6.5,1.82,1.11,7.86,15.54,3534.57,26068.62,2.0,80.15,44.71,58192.82,0,1.9,A+
JK Cement,Cement,10.0,260.25,-0.51,0.29,2.66,1.46,0.67,0.66,1.02,4.39,44.07,23065.08,0.77,61.61,10.0,4857.07,0,7.2,B-
Arjun Agri,Automobile,65807.88,11905.79,9.03,3.75,0.75,13.69,3.14,1.59,7.12,16.32,11068.55,9915.54,5.45,80.4,49.17,99348.18,0,3.7,AA
Parvati Agri,Media & Entertainment,51907.67,11975.85,27.89,13.66,0.53,5.67,2.74,1.56,14.48,17.2,10182.8,7452.19,4.56,49.24,34.7,100062.83,0,1.1,AA+
Himalaya Polymers,Real Estate,25845.49,11078.54,18.11,11.1,0.85,5.75,1.39,1.29,10.49,10.8,4502.07,7275.53,3.55,50.89,21.8,52767.97,0,2.7,A-
Durga Engineering,Banking & Financial Services,10.0,-926.71,-7.14,-30.86,8.4,-1.42,0.51,0.1,-11.84,-29.47,563.9,11152.13,0.01,24.85,14.55,10.0,0,9.3,D
Indus Textiles,Automobile,2748.74,283.54,-0.22,5.21,1.36,0.9,1.11,0.6,-0.47,-2.39,131.0,5943.76,0.85,13.98,16.88,3288.87,0,8.7,B
Surya Enterprises,Power & Utilities,5811.02,619.35,7.81,3.42,1.75,1.34,0.64,0.69,3.54,7.41,1519.73,35554.87,1.43,61.36,24.13,18259.4,0,7.3,BB+
Param Agri,Textiles,6119.14,328.17,4.83,-0.01,3.0,0.64,0.86,0.25,3.58,2.12,336.67,23662.29,0.88,56.67,10.0,8993.44,1,7.7,B
Arjun Engineering,Aviation,8275.24,-9.02,3.85,5.33,1.01,1.28,1.01,0.9,-1.37,9.44,32.16,8423.92,0.49,18.68,14.42,219.17,0,7.0,B
Shakti Corporation,Textiles,2869.66,1944.38,16.68,7.17,1.21,4.34,1.72,0.92,2.91,11.23,3347.17,2471.3,1.35,39.37,21.92,8584.49,0,3.7,BBB+
Sahyadri Agri,IT & Technology,1565.06,5997.5,19.12,6.18,0.62,5.2,1.64,1.35,6.35,20.91,7952.82,15893.3,2.88,53.49,46.58,31988.53,0,2.3,A
Konkan Enterprises,Power & Utilities,8209.27,2393.25,15.16,4.59,1.64,2.41,1.1,1.14,3.12,5.78,524.23,3869.64,1.37,30.52,26.79,242.39,1,7.4,BB
Laxmi Logistics,IT & Technology,10.0,7036.53,12.87,8.42,1.43,4.37,1.48,1.25,6.04,16.28,3440.19,43575.63,2.25,26.33,50.11,11384.84,0,5.0,BBB-
Durga Pharma,IT & Technology,49099.62,4401.84,23.13,10.99,1.27,6.88,2.17,0.54,7.79,16.64,6894.46,42417.36,2.51,52.59,46.17,10.0,0,3.2,A
Jai Polymers,Power & Utilities,27192.05,16355.81,32.36,20.16,0.47,12.63,2.63,1.57,8.92,15.46,16027.12,21494.24,2.75,41.15,54.48,67193.29,1,3.5,AA+
Prem Ceramics,Infrastructure & Construction,1455.38,1163.89,9.32,5.14,2.54,0.94,1.29,1.01,2.72,6.59,1051.07,19448.17,1.37,49.86,10.14,13941.6,0,6.6,BB+
Ashoka Steel,Real Estate,3105.2,6983.64,20.97,7.42,0.69,3.18,2.04,1.36,3.89,16.41,5773.96,35746.21,2.49,42.38,22.75,33854.89,0,3.6,A+
Desh Solutions,Textiles,3427.84,251.84,3.59,8.52,1.88,0.72,1.56,0.66,-1.07,6.37,-73.01,19272.49,0.75,28.4,21.65,4416.0,0,7.8,B-
Sagar Exports,IT & Technology,22000.0,10251.09,26.05,12.54,1.34,7.7,1.88,1.39,8.34,10.0,5639.71,31317.8,2.47,56.05,32.26,73210.76,0,3.6,A+
Radha Engineering,FMCG,15819.68,26535.06,24.15,15.68,0.43,8.53,2.97,2.15,12.33,17.57,14714.71,22885.56,3.61,61.38,35.38,115135.86,0,3.0,AA
Priya Textiles,Textiles,4904.32,1768.11,6.37,2.28,1.48,1.14,1.4,0.61,1.95,10.77,457.65,14118.57,0.9,53.66,24.77,12433.68,0,6.6,BB-
Vindhya Power,Infrastructure & Construction,36890.58,8295.21,32.74,19.06,0.36,10.12,2.05,1.15,11.53,16.34,5284.78,4250.41,2.24,54.29,40.72,47481.95,0,2.6,AA
Sahyadri Exports,FMCG,66268.49,13541.17,28.46,15.27,0.34,10.34,1.57,1.82,8.19,21.67,8969.27,34750.4,2.68,51.22,47.71,170229.83,0,2.5,AA-
Laxmi Holdings,Infrastructure & Construction,33377.46,2420.67,20.49,5.17,1.37,0.69,1.06,1.12,2.38,12.28,4131.62,13984.16,1.32,42.31,14.34,18481.8,1,4.8,BBB
Krishna Technologies,Aviation,9023.08,148.21,10.57,-2.12,2.56,1.59,1.13,0.54,1.83,4.68,38.02,16927.6,1.27,42.08,15.4,4680.39,0,7.9,B+
Narmada Engineering,Banking & Financial Services,24581.01,9870.79,37.97,14.99,0.35,13.46,1.73,1.42,14.75,18.17,1630.42,28527.88,3.4,73.4,32.91,163073.56,0,1.8,AA-
Shakti Power,Aviation,26522.17,9248.81,15.71,13.08,0.73,5.51,1.82,1.32,8.41,12.6,3779.31,26221.19,2.76,46.73,35.89,10.0,0,3.6,A
Arjun Industries,Textiles,4347.67,976.06,6.58,8.89,1.81,2.14,1.03,0.8,1.18,6.49,237.79,13225.96,0.43,26.21,29.71,12982.39,0,7.6,BB
Ganga Holdings,Textiles,3009.48,-235.86,-11.22,-4.27,4.1,1.05,0.6,0.59,-5.47,-1.32,478.68,2839.35,0.3,15.6,10.0,1533.65,0,8.5,C
Prem Exports,Telecom,20562.39,-714.77,21.43,6.95,1.41,4.24,1.81,0.97,0.75,11.17,2861.27,7588.87,1.87,43.67,10.57,30072.27,1,4.7,BBB+
Surya Capital,FMCG,38435.53,22648.35,24.75,16.32,0.41,11.39,2.87,1.86,13.06,20.42,2718.54,11486.57,3.6,50.74,26.03,10.0,0,2.3,AA
Narmada Foods,Energy & Oil,77222.95,14483.35,30.55,17.83,0.38,14.19,3.22,2.1,9.79,21.55,6879.38,14135.03,3.88,65.06,28.15,201470.18,0,2.2,AAA
Konkan Engineering,Pharmaceuticals,16244.98,7579.88,20.92,18.19,0.36,4.18,2.92,1.2,3.27,12.67,-5075.49,31613.81,3.45,41.06,26.35,77709.62,0,2.4,A+
Shakti Technologies,Aviation,44297.12,8733.66,23.24,10.94,0.54,9.55,2.47,1.68,11.62,12.21,13955.55,18029.6,3.63,68.48,31.21,181071.06,0,3.1,AA
Vikram Logistics,FMCG,5193.79,-1372.59,20.39,8.33,0.9,4.91,1.14,0.89,6.05,7.66,2302.93,33069.65,1.91,62.97,35.34,20116.08,0,4.1,BBB-
Narmada Holdings,Power & Utilities,69083.35,3148.24,23.04,17.35,0.79,8.27,1.88,1.58,12.05,17.38,17295.61,12410.27,3.92,62.45,36.0,150382.6,0,3.1,AA
Vijay Engineering,IT & Technology,16941.04,3752.81,11.84,6.11,1.69,4.26,1.09,1.05,0.25,9.28,4229.85,18498.25,1.86,11.8,20.08,25074.08,0,5.8,BBB+
Aarav Industries,Chemicals,12897.42,2668.69,8.34,7.39,0.7,1.28,1.07,1.38,4.46,11.66,1575.71,10.0,2.27,21.93,18.45,19180.78,0,4.4,BBB-
Meera Foods,Real Estate,10.0,1397.81,11.26,5.68,1.59,2.04,1.49,1.04,6.92,10.6,3924.04,17933.36,2.02,29.96,10.0,25663.2,0,5.4,BBB
Ashoka Holdings,Media & Entertainment,36876.69,24428.06,22.24,17.68,0.62,15.16,2.04,1.34,6.51,24.21,13528.47,27436.73,6.92,61.25,22.47,88245.79,0,2.2,AA-
Vijay Foods,Steel & Metals,5987.05,730.38,4.43,8.78,1.98,1.82,1.34,0.89,3.41,9.05,880.36,22702.21,1.43,44.28,16.24,17182.39,0,6.8,BB
Parvati Finance,FMCG,10069.54,712.35,6.77,2.94,1.5,0.83,0.99,0.85,4.9,8.66,-759.72,22413.04,1.03,48.34,17.89,6843.87,0,6.5,BB+
Narmada Infra,FMCG,14722.02,1184.27,14.34,6.82,2.2,0.57,1.43,0.71,4.07,4.08,88.96,35763.89,0.91,58.05,18.95,5479.28,0,5.5,BB+
Konkan Technologies,FMCG,49656.14,6420.82,22.63,19.7,0.55,5.55,2.63,1.6,9.37,20.99,9996.76,8012.06,5.65,57.83,40.78,75693.69,0,2.1,AA
Saraswati Polymers,Banking & Financial Services,11375.5,9249.26,32.96,19.33,0.45,14.12,2.57,1.49,10.5,19.32,6008.68,22054.06,4.11,41.13,39.16,81816.63,0,1.0,AA
Priya Enterprises,Infrastructure & Construction,2855.48,231.39,8.84,0.87,3.94,1.33,0.82,0.64,0.47,6.44,-199.66,5410.43,0.91,53.39,10.0,6436.18,1,6.0,B-
Chanakya Capital,Pharmaceuticals,10.0,617.76,19.9,11.74,0.99,4.9,1.36,1.16,8.08,15.92,2843.34,41521.7,2.3,41.56,25.49,82245.21,0,2.9,A
Deccan Industries,Cement,46669.94,17142.37,21.05,16.94,1.11,4.79,1.81,0.85,7.49,12.5,4388.46,16751.57,2.57,58.39,30.57,10.0,0,2.3,A+
Vivek Power,Automobile,17440.6,4006.63,16.28,5.64,1.3,2.94,1.06,1.19,6.64,13.85,1404.97,34152.35,1.55,55.84,18.89,16640.27,1,4.8,BBB+
Meera Holdings,Telecom,15910.9,2179.9,23.78,4.51,0.97,2.41,1.23,1.26,7.96,8.9,1198.59,6114.46,2.45,61.45,22.94,10.0,0,5.1,BBB-
Vikram Finance,Cement,2824.01,-719.84,-6.93,-1.91,3.67,0.75,0.75,0.22,-5.88,-8.64,-581.0,3210.92,0.7,16.27,13.39,650.81,1,8.9,C
Prem Industries,IT & Technology,19225.94,10055.57,9.77,13.76,0.06,5.55,2.14,1.52,4.75,10.32,3245.31,30793.24,1.17,51.84,35.74,41508.88,0,3.7,A+
Konkan Agri,Chemicals,2375.04,-277.67,5.53,-1.86,2.04,1.24,1.18,0.59,1.83,-2.78,273.66,11520.75,1.11,26.89,10.55,5647.04,0,6.6,B-
Himalaya Capital,Power & Utilities,182065.33,11056.89,29.55,21.73,0.28,14.05,2.69,1.88,10.65,32.75,16020.08,19775.45,4.5,59.16,45.89,45015.42,0,1.2,AAA
Vindhya Solutions,Banking & Financial Services,26715.25,606.6,12.11,5.3,1.78,2.46,1.57,1.24,4.71,6.87,44.52,30317.17,1.17,52.7,25.14,25656.99,0,4.3,BBB+
Konkan Textiles,IT & Technology,5244.72,4429.85,11.85,-0.25,1.46,2.26,1.54,1.35,5.03,13.99,2776.84,39049.15,1.27,47.9,30.73,17143.82,0,4.7,BBB
Konkan Logistics,Textiles,101734.28,28855.38,26.69,18.21,0.74,6.44,1.54,2.1,11.82,17.09,11066.74,10.0,3.61,50.47,55.77,159701.85,0,2.8,AA
Kiran Steel,Pharmaceuticals,12566.33,18134.5,28.78,20.98,0.92,4.92,2.01,1.3,11.52,18.05,9595.51,34331.25,2.7,47.59,26.64,78380.34,0,2.5,AA
Vivek Polymers,Textiles,27021.18,3960.68,24.37,11.76,1.12,5.61,1.79,1.1,7.98,17.85,4354.66,35776.18,2.15,61.11,25.04,75550.4,1,4.7,A-
Krishna Finance,Infrastructure & Construction,268.9,-542.85,-8.7,-16.92,1.93,0.49,0.65,0.29,-6.16,-10.99,460.15,4851.46,0.14,37.55,10.0,2631.02,1,9.2,C
Sahyadri Foods,Energy & Oil,25821.97,1957.33,11.29,10.22,1.43,1.81,1.06,0.37,6.19,10.21,2208.13,10.0,1.25,42.26,17.28,21767.54,0,6.8,BBB
Jai Infra,Pharmaceuticals,3939.95,790.39,1.68,-4.02,2.22,0.2,0.9,0.48,-1.93,9.94,38.73,10.0,1.02,24.07,18.54,1166.51,0,7.8,B-
Radha Foods,Real Estate,10966.1,1814.79,9.64,5.59,2.25,2.16,1.11,0.51,3.9,7.13,551.83,28777.66,0.77,65.02,17.82,9905.11,0,5.2,BB
Narmada Power,IT & Technology,27487.02,9006.35,23.38,11.21,0.14,2.92,2.62,0.92,11.57,11.26,5270.18,37378.12,2.14,71.11,32.91,63825.53,0,4.0,A-
Himalaya Foods,Telecom,15893.96,1094.97,16.92,2.17,2.26,2.39,0.88,0.84,3.01,4.44,1014.8,17462.9,1.18,41.04,17.28,5793.8,0,6.0,BB
Priya Finance,Energy & Oil,186272.38,7088.0,25.91,17.47,0.49,8.4,3.06,2.12,15.0,28.18,28942.46,11392.35,5.29,47.09,56.98,120601.06,0,1.0,AAA
Chanakya Holdings,Steel & Metals,60121.81,2124.02,25.89,11.09,0.33,13.46,2.49,2.06,15.68,14.91,19993.83,4413.93,4.55,53.07,28.05,136868.19,0,3.2,AA
Ashoka Engineering,Energy & Oil,9074.3,1305.57,12.11,4.91,2.12,2.16,1.36,0.47,2.8,2.85,966.02,32419.3,1.06,43.78,24.05,10.0,1,6.8,BB-
Himalaya Corporation,FMCG,10.0,418.55,14.4,7.01,2.02,2.71,1.2,0.91,2.53,7.35,420.58,28634.83,1.66,61.32,14.74,2277.36,0,6.9,BB
Anand Textiles,Real Estate,35914.52,4648.66,22.13,7.66,0.99,8.76,2.45,1.55,4.54,15.79,14558.73,14970.83,2.75,68.96,39.41,124404.69,0,2.7,A+
Ganga Ceramics,IT & Technology,27241.25,608.24,14.02,7.8,1.61,4.24,1.54,0.9,7.43,23.08,3744.31,21196.07,1.15,40.35,21.86,11981.0,1,6.4,BBB+
Chanakya Infra,Textiles,27471.67,2682.33,8.96,12.01,1.18,1.43,1.61,1.26,0.15,8.53,2301.18,28814.13,1.54,38.01,31.27,12975.16,0,4.1,BBB
Narmada Capital,Aviation,10.0,664.34,6.01,3.77,2.07,0.6,1.17,0.37,2.88,8.28,458.03,6497.54,0.6,31.85,10.0,595.77,1,8.0,B+
Sagar Engineering,Power & Utilities,4504.25,4352.24,17.27,12.53,1.43,4.77,1.54,1.24,2.43,10.63,2429.83,17075.0,2.02,55.61,27.92,17345.84,0,5.9,BBB
Param Technologies,Aviation,36295.19,2916.24,19.03,5.03,0.81,5.6,1.57,1.85,5.11,17.83,14746.83,44159.02,2.77,38.39,15.66,37653.45,0,2.9,A-
Anand Industries,Telecom,24126.36,7039.89,22.43,7.05,0.6,5.68,1.72,1.94,8.58,8.55,7672.73,36184.96,2.7,37.44,53.1,17903.48,0,3.7,A
Ganesh Solutions,Textiles,40814.59,15180.86,22.81,9.77,1.13,4.74,1.87,0.85,5.42,15.21,7472.35,2464.14,3.2,42.17,47.36,39441.07,0,3.6,A-
Shakti Chemicals,Power & Utilities,5837.65,5537.89,15.0,7.54,1.44,2.29,1.01,1.1,2.8,7.7,4006.16,26300.77,1.17,40.57,14.96,46644.79,0,4.7,BBB-
Himalaya Industries,Cement,5728.58,-74.67,2.31,1.31,2.86,0.95,0.95,0.61,0.75,1.82,72.12,13855.5,0.9,37.98,10.0,502.68,0,8.7,B+
Meera Finance,Steel & Metals,32743.48,5647.49,21.12,7.45,1.19,6.37,1.53,1.24,6.68,20.25,5191.04,30330.49,3.26,43.11,34.32,58233.07,0,3.7,A-
Sahyadri Power,FMCG,29176.28,8084.85,20.18,13.04,1.2,3.64,1.66,1.53,9.2,16.84,17014.31,37212.03,3.7,48.32,20.09,40570.48,0,3.8,A+
Durga Corporation,Aviation,37258.52,6535.45,18.13,11.28,1.02,7.68,1.4,1.57,6.37,16.88,5232.14,51486.83,2.47,54.14,39.28,23781.23,1,3.3,A+
Ganga Capital,Media & Entertainment,5430.93,848.22,14.45,2.2,2.14,2.25,0.8,0.9,0.88,8.88,495.69,16083.67,0.81,43.71,25.42,3158.21,1,6.9,BB+
Surya Finance,Infrastructure & Construction,10398.09,-747.34,18.06,5.59,2.22,1.89,0.69,0.93,2.15,8.63,668.72,18380.39,0.97,54.1,10.0,21473.42,1,7.8,BB-
Ganesh Logistics,Automobile,81886.97,13408.16,32.0,15.62,0.19,14.51,2.76,1.59,7.32,15.66,73.13,33340.97,2.2,60.87,29.34,14397.79,0,2.2,AA
Konkan Steel,Power & Utilities,70954.73,5126.76,20.46,6.45,0.06,15.39,3.24,1.64,8.53,16.81,16241.45,15827.33,4.04,57.87,33.47,68428.44,0,1.7,AA+
Raj Pharma,IT & Technology,19517.29,2056.84,15.64,12.15,1.13,4.6,0.86,0.88,5.06,16.77,-1027.91,18845.48,2.53,38.58,21.87,24976.08,1,6.3,BBB
Kaveri Ceramics,Steel & Metals,61211.85,23294.41,22.84,13.04,0.45,6.52,2.44,1.45,8.98,19.99,4137.71,31246.03,3.32,69.59,36.11,137914.58,0,3.1,AA
Kaveri Infra,FMCG,8549.73,-130.72,14.04,3.74,2.27,2.55,0.96,0.62,3.98,6.09,1361.86,14217.99,1.51,47.93,20.3,5755.93,0,7.5,BB-
Arjun Textiles,Media & Entertainment,29024.12,9890.28,20.23,12.5,1.32,8.4,1.83,1.38,6.25,14.31,7237.59,40759.2,3.4,38.69,43.72,47336.79,0,4.6,A
Saraswati Textiles,Energy & Oil,86581.97,15846.23,29.25,19.07,0.78,12.18,1.54,2.4,14.2,15.96,4822.25,28057.76,3.52,61.3,53.15,66013.49,1,2.8,AA
Laxmi Steel,Infrastructure & Construction,2399.84,451.13,-0.37,0.24,3.07,1.3,0.74,0.42,1.02,5.24,321.55,7902.72,0.87,57.54,13.23,10.0,0,9.1,B-
Saraswati Foods,Energy & Oil,17815.23,14208.07,23.64,16.38,0.54,13.42,2.24,2.11,10.65,16.6,6984.9,194.96,4.08,78.54,48.87,141204.84,0,2.3,AA
Nav Infra,Infrastructure & Construction,47723.55,16539.12,27.44,15.22,0.81,6.42,1.5,0.79,5.18,15.2,4832.03,5958.37,2.77,48.18,17.93,38894.63,0,3.0,A+
Nav Foods,Banking & Financial Services,73166.75,679.69,13.09,16.01,0.52,11.21,1.93,1.23,10.98,16.23,20306.43,18109.27,3.75,82.75,39.08,133369.41,0,3.1,AA
Arun Logistics,Cement,57237.18,15356.89,25.6,13.7,0.57,16.09,2.81,1.72,13.57,14.52,9436.93,33374.2,5.29,50.29,34.75,230882.55,0,4.0,AA
Vindhya Infra,Cement,88274.29,26954.16,27.86,24.71,0.41,9.82,2.59,2.46,13.61,19.53,27085.88,23827.63,4.33,63.7,30.83,110451.91,0,1.5,AAA
Krishna Enterprises,Energy & Oil,25828.1,8988.18,18.61,17.82,0.11,6.97,1.27,1.77,5.59,18.13,20837.14,42081.21,1.99,60.98,27.17,28411.84,0,3.5,AA+
Vindhya Engineering,Pharmaceuticals,64991.47,8994.01,29.23,7.03,0.35,7.53,2.24,1.52,10.58,17.3,11134.44,28481.57,3.95,55.16,48.03,149567.41,0,2.5,AA-
Durga Infra,Chemicals,79047.66,6280.68,35.83,10.64,0.43,7.15,3.29,1.4,9.5,16.52,11573.62,18058.7,3.67,22.71,42.86,101068.4,0,3.5,AA+
Prem Logistics,Automobile,13122.92,4632.46,9.49,10.3,0.97,2.08,1.34,1.35,5.36,15.49,1152.28,32574.21,1.47,50.7,26.17,29922.38,0,4.4,BBB
Shakti Logistics,Banking & Financial Services,23803.07,6463.31,12.08,2.49,1.4,3.1,1.36,1.14,4.09,10.19,2319.78,37637.05,1.82,33.17,12.04,22088.45,0,3.8,BBB-
Prem Solutions,Banking & Financial Services,41439.65,10580.24,18.16,13.17,0.86,7.2,2.04,0.39,7.4,17.07,4358.17,28543.04,3.4,52.97,50.1,83809.59,0,3.3,A
Krishna Ventures,Aviation,10.0,6030.74,13.23,12.88,0.85,7.39,2.36,1.29,13.7,15.93,759.13,19568.92,2.5,59.11,20.63,41060.72,0,3.1,A
Raj Steel,Energy & Oil,23114.15,4282.64,20.83,7.01,1.68,1.86,0.98,0.7,5.02,14.61,1416.14,14279.68,1.69,54.87,19.22,11998.75,0,4.5,BBB+
Prem Limited,IT & Technology,7532.39,431.82,2.04,4.71,2.03,1.71,1.18,0.61,-1.25,12.16,316.18,9408.9,1.04,45.53,19.87,1344.13,1,6.6,B+
Shakti Ventures,Aviation,5999.0,391.97,6.12,0.56,2.3,0.57,1.06,0.82,0.16,5.21,329.66,12064.78,0.42,15.48,10.0,10.0,0,7.8,B+
Radha Ventures,Steel & Metals,49250.97,-1331.65,14.06,15.99,0.89,7.9,2.63,1.41,11.17,22.86,8924.29,13718.74,5.22,58.46,58.37,58885.07,0,2.7,AA+
Raj Exports,Energy & Oil,60869.69,14921.41,21.97,15.99,0.41,12.88,2.1,1.0,5.96,11.09,14707.82,8181.95,4.1,59.37,41.03,126304.31,0,1.0,AA-
Konkan Finance,Banking & Financial Services,24174.75,9412.96,28.2,18.75,0.39,5.3,1.17,1.83,10.53,16.4,6664.38,48709.47,3.77,65.9,37.48,39523.15,0,4.2,A+
Kiran Industries,Real Estate,26568.53,5919.38,25.67,18.66,0.58,5.47,1.94,1.47,6.69,22.53,7688.38,35970.75,4.21,46.61,30.94,12400.33,1,2.3,A+
Kaveri Steel,Power & Utilities,22478.49,3839.99,13.61,7.7,1.5,2.14,1.46,1.17,1.44,13.05,-513.31,18588.87,1.22,65.17,12.43,10.0,1,4.7,BBB
Ganga Finance,Chemicals,2917.11,9866.17,10.04,7.86,0.63,7.6,2.32,1.69,7.62,5.29,7563.41,50058.61,3.79,57.56,17.73,34240.79,0,2.4,A-
Indus Chemicals,Pharmaceuticals,21303.97,20597.86,22.41,11.27,0.81,11.38,2.01,1.14,17.14,17.9,19383.97,32723.6,3.28,52.87,63.69,187751.04,0,2.9,AA+
Vikram Ventures,Energy & Oil,27818.13,2850.05,21.31,6.6,0.66,4.4,1.6,1.27,5.46,21.29,7973.13,54918.45,2.67,45.41,53.1,32658.21,0,4.1,A
Narmada Polymers,Media & Entertainment,2622.74,4422.59,17.92,11.81,1.56,5.06,1.37,0.78,9.22,6.42,-67.72,26781.54,2.61,50.27,33.99,10.0,0,3.5,BBB+
Kaveri Industries,Textiles,69510.27,3169.38,17.33,18.06,0.71,9.52,2.49,1.82,10.35,13.62,14389.35,29357.15,4.69,61.12,24.47,141420.41,0,2.1,AA
Kaveri Solutions,Banking & Financial Services,6526.82,647.79,13.56,-0.25,1.2,1.74,1.55,1.01,0.54,11.05,1609.65,4259.92,0.44,40.99,26.98,17547.57,0,7.9,BB-
Meera Technologies,Power & Utilities,10.0,11423.65,22.5,20.61,0.76,12.86,1.52,1.95,12.53,11.32,-1402.08,34455.87,3.62,45.15,38.88,121842.46,0,1.3,AA+
Parvati Solutions,Textiles,9656.67,751.48,3.66,0.11,2.79,0.44,0.96,0.4,0.89,-1.67,-135.43,25165.78,0.81,38.11,10.0,1507.5,0,7.7,B-
